2.95,6.7,Doing bad
2.95,6.4,Doing bad
2.95,6.1,Doing bad
2.95,5.8,Doing bad
2.95,5.5,Doing bad
3.05,5.2,Doing bad
3.25,5.1,Doing bad
3.45,5,Doing bad
3.65,5.1,Doing bad
3.85,5.2,Doing bad
3.85,5.5,Doing bad
3.85,5.8,Doing OK
3.85,6.1,Doing OK
4.05,6.2,Doing OK
4.25,6.1,Doing OK
4.25,5.8,Doing OK
4.25,5.5,Doing OK
4.25,5.2,Doing OK
4.3,4.9,Doing OK
4.45,4.7,Doing OK
4.65,4.6,Doing OK
4.85,4.7,Doing OK
5.05,4.9,Doing OK
5.25,5.1,Doing OK
5.45,5.2,Doing OK
5.65,5.2,Doing OK
5.85,5.1,Doing OK
6.05,4.9,Doing OK
6.25,4.7,Doing OK
6.45,4.6,Doing OK
6.65,4.7,Doing OK
6.85,4.9,Doing OK
6.85,5.2,Doing OK
6.85,5.5,Doing OK
7.05,5.6,Doing OK
7.25,5.5,Doing OK
7.25,5.2,Did Great
7.25,4.9,Did Great
7.4,4.7,Did Great
7.6,4.6,Did Great
7.8,4.7,Did Great
7.95,4.9,Did Great
8.05,5.2,Did Great
8.05,5.5,Did Great
8.05,5.8,Did Great
8.05,6.1,Did Great
8.05,6.4,Did Great
8.05,6.7,Did Great
